Year,GLODAP Expocode,GO-SHIP Expocode
1984,316N19831007,316N19831007 
1984,316N19831007,316N19840111
1995,35A319950113,35A3CITHER3_1
1995,35A319950221,35A3CITHER3_2
2006,06AQ20060825,
2010,33RO20100308,33RO20100308 
