Year,GLODAP Expocode,GO-SHIP Expocode
1995,58AA19950217,58AA19950217
1996,58JH19960720,58JH19960720 
1996,58AA19961121,58AA19961121
1997,58AA19970225,58AA19970225
1998,58AA19980308,58AA19980308
2006,58GS20060721,58GS20060721
2012,06AQ20120614,06AQ20120614
2013,58GS20130717,58GS20130717
2016,58GS20160802,58GS20160802
