Year,GLODAP Expocode,GO-SHIP Expocode
1996,09AR19960119,09AR9604_1
1996,320619969593,320696_3
2006,09AR20060102,09AR20060102 
2012,49NZ20121128,49NZ20121128
2013,49NZ20130106,49NZ20130106
