Year,GLODAP Expocode,GO-SHIP Expocode
1991,31WT19910716,31WTTUNES_2 
1991,31DS19910307,31DSCGC91_1	
1992,316N19921006,316N138_9
1997,325019971101,325019971101
2005,33RR20050109,33RR200501	
2006,325020060213,325020060213
2008,325020080826,325020080826 
2014,320620140320,320620140320
2015,33RO20150410,33RO20150410
2015,33RO20150525,33RO20150525 
