Year,GLODAP Expocode,GO-SHIP Expocode
1989,06AQ19890906,06AQANTVIII_2	
1990,06AQ19901117,06AQANTIX_2
1990,06MT19900123,
1992,06AQ19920521,06AQANTX_4
1993,06AQ19921203,06AQANTX_7
1996,06AQ19960317,06AQANTXIII_4
1998,06AQ19980328,06AQANTXV_4
2005,06AQ20050122,
2008,06AQ20080210,
2010,06AQ20101128,06AQ20101128
