Year,GLODAP Expocode,GO-SHIP Expocode
1986,06AQ19860627,06AQ19860627
1992,06AQ19920521,06AQANTX_4
2003,06AQ20021124,06AQ200211_2	
2005,06AQ20050122,06AQ20050102	
2006,06AQ20060825,06AQ20060825
2007,06AQ20071128,06AQ20071128
2008,06AQ20080210,06AQ20080210
2008,35MF20080207,35MF20080207
2008,06AQ20080210,06AQ20080210 
2010,06AQ20101128,06AQ20101128
2012,06AQ20120107,06AQ20120107
2014,06AQ20141202,06AQ20141202
