Year,GLODAP Expocode,GO-SHIP Expocode
1990,33MW19900222,3175CG90_1	
1996,31DS19960105,31DSCG96_1
2001,09FA20010524,09FA20010524
2009,09SS20090203,09SS20090203 
2015,096U20160426,096U20160426
